Accession,FBgn
Q9W141,FBgn0035032
Q94522,FBgn0004888
P55828,FBgn0019936
Q9VJY4,FBgn0032520
Q7KTJ2,FBgn0032003
P81641,FBgn0000078
Q9VXQ5,FBgn0027329
P14318,FBgn0002789
Q7KTF1,FBgn0032314
Q9VQL0,FBgn0031496
Q9VTU2,FBgn0011455
P41126,FBgn0011272
Q4V3Z6,FBgn0260761
Q9V3L7,FBgn0027785
Q8SWW4,FBgn0032481
Q9VSM6,FBgn0035915
Q9VG65,FBgn0286507
A1ZAH1,FBgn0285943
Q9W130,FBgn0015040
Q6GUR9,FBgn0034153
Q2PDR9,FBgn0250785
Q9VNE9,FBgn0037351
Q4V5H8,FBgn0037460
A0A6F7SG83,FBgn0037339
Q0KI89,FBgn0083943
A1Z959,FBgn0050486
A0A0B4KHN1,FBgn0014141
A4V362,FBgn0259222
Q9VFM2,FBgn0038210
Q9VDH8,FBgn0038834
A0AQH0,FBgn0010590
A1Z8V7,FBgn0033706
Q7K3M6,FBgn0034479
Q9VIL5,FBgn0032868
Q9W3M7,FBgn0029979
P35416,FBgn0003149
C0HK94,FBgn0266448
Q8SXC9,FBgn0052488
Q9W0S7,FBgn0035121
Q7JXG2,FBgn0034464
Q9W3R3,FBgn0029947
Q9Y171,FBgn0027615
Q9VGQ1,FBgn0037891
P55035,FBgn0015283
Q9W2D1,FBgn0034658
Q8T8S2,FBgn0034800
Q9VHL9,FBgn0037626
A0A0B4KGG5,FBgn0267975
Q7JYH3,FBgn0034576
A4V0U4,FBgn0032721
Q9W235,FBgn0034745
Q7KRS1,FBgn0051693
Q7KSQ0,FBgn0037912
P48601,FBgn0015282
Q9VZJ1,FBgn0035491
P45594,FBgn0011726
Q9VW23,FBgn0036895
C9QPD4,FBgn0261561
Q9VRL0,FBgn0035600
O97102,FBgn0264922
Q9VUG9,FBgn0036442
Q8T4I5,FBgn0051128
E1JIJ5,FBgn0005671
Q9VJW8,FBgn0028513
Q9W2X6,FBgn0028342
Q9W5X1,FBgn0031089
Q9VI17,FBgn0260766
Q9V9P9,FBgn0032965
A0A0B7P9G0,FBgn0262124
Q9VHH1,FBgn0037664
