Accession,FBgn
O18394,FBgn0015519
Q24246,FBgn0003654
Q9VDY8,FBgn0267975
Q9VT75,FBgn0263251
Q9VW17,FBgn0036890
Q95WY3,FBgn0038964
Q9W5R8,FBgn0064225
O61231,FBgn0024733
Q8INC3,FBgn0026059
Q9W1J3,FBgn0034908
Q9VXF1,FBgn0267912
Q9VG06,FBgn0038107
Q9VF20,FBgn0038376
Q9VDW3,FBgn0260003
Q9VHY6,FBgn0037530
A8JNU6,FBgn0010352
Q7KNF2,FBgn0005648
Q9VVI3,FBgn0259174
Q9VAU6,FBgn0039589
Q9VXQ8,FBgn0030678
A1ZB95,FBgn0262476
L0MQ04,FBgn0010217
